parameter w(u,v,a)/ 
628.655.17 1,
628.655.18 1,
628.655.19 1,
628.655.20 1,
628.655.21 1,
628.655.22 1,
628.655.23 1,
628.655.24 1,
628.655.25 1,
628.655.26 1,
628.655.27 1,
628.655.28 1,
628.655.29 1,
628.655.30 1,
628.696.1 1,
628.696.2 1,
628.696.3 1,
628.696.4 1,
628.696.5 1,
628.696.6 1,
628.696.7 1,
628.696.8 1,
628.696.9 1,
628.696.10 1,
628.696.11 1,
628.696.12 1,
628.696.13 1,
628.696.14 1,
628.696.15 1,
628.696.16 1,
628.696.17 1,
628.696.18 1,
628.696.19 1,
628.696.20 1,
628.696.21 1,
628.696.22 1,
628.696.23 1,
628.696.24 1,
628.696.25 1,
628.696.26 1,
628.696.27 1,
628.696.28 1,
628.696.29 1,
628.696.30 1,
628.697.1 1,
628.697.2 1,
628.697.3 1,
628.697.4 1,
628.697.5 1,
628.697.6 1,
628.697.7 1,
628.697.8 1,
628.697.9 1,
628.697.10 1,
628.697.11 1,
628.697.12 1,
628.697.13 1,
628.697.14 1,
628.697.15 1,
628.697.16 1,
628.697.17 1,
628.697.18 1,
628.697.19 1,
628.697.20 1,
628.697.21 1,
628.697.22 1,
628.697.23 1,
628.697.24 1,
628.697.25 1,
628.697.26 1,
628.697.27 1,
628.697.28 1,
628.697.29 1,
628.697.30 1,
628.699.1 1,
628.699.2 1,
628.699.3 1,
628.699.4 1,
628.699.5 1,
628.699.6 1,
628.699.7 1,
628.699.8 1,
628.699.9 1,
628.699.10 1,
628.699.11 1,
628.699.12 1,
628.699.13 1,
628.699.14 1,
628.699.15 1,
628.699.16 1,
628.699.17 1,
628.699.18 1,
628.699.19 1,
628.699.20 1,
628.699.21 1,
628.699.22 1,
628.699.23 1,
628.699.24 1,
628.699.25 1,
628.699.26 1,
628.699.27 1,
628.699.28 1,
628.699.29 1,
628.699.30 1,
629.202.1 1,
629.202.2 1,
629.202.3 1,
629.202.4 1,
629.202.5 1,
629.202.6 1,
629.202.7 1,
629.202.8 1,
629.202.9 1,
629.202.10 1,
629.202.11 1,
629.202.12 1,
629.202.13 1,
629.202.14 1,
629.202.15 1,
629.202.16 1,
629.202.17 1,
629.202.18 1,
629.202.19 1,
629.202.20 1,
629.202.21 1,
629.202.22 1,
629.202.23 1,
629.202.24 1,
629.202.25 1,
629.202.26 1,
629.202.27 1,
629.202.28 1,
629.202.29 1,
629.202.30 1,
629.693.1 1,
629.693.2 1,
629.693.3 1,
629.693.4 1,
629.693.5 1,
629.693.6 1,
629.693.7 1,
629.693.8 1,
629.693.9 1,
629.693.10 1,
629.693.11 1,
629.693.12 1,
629.693.13 1,
629.693.14 1,
629.693.15 1,
629.693.16 1,
629.693.17 1,
629.693.18 1,
629.693.19 1,
629.693.20 1,
629.693.21 1,
629.693.22 1,
629.693.23 1,
629.693.24 1,
629.693.25 1,
629.693.26 1,
629.693.27 1,
629.693.28 1,
629.693.29 1,
629.693.30 1,
629.697.1 1,
629.697.2 1,
629.697.3 1,
629.697.4 1,
629.697.5 1,
629.697.6 1,
629.697.7 1,
629.697.8 1,
629.697.9 1,
629.697.10 1,
629.697.11 1,
629.697.12 1,
629.697.13 1,
629.697.14 1,
629.697.15 1,
629.697.16 1,
629.697.17 1,
629.697.18 1,
629.697.19 1,
629.697.20 1,
629.697.21 1,
629.697.22 1,
629.697.23 1,
629.697.24 1,
629.697.25 1,
629.697.26 1,
629.697.27 1,
629.697.28 1,
629.697.29 1,
629.697.30 1,
630.655.1 1,
630.655.2 1,
630.655.3 1,
630.655.4 1,
630.655.5 1,
630.655.6 1,
630.655.7 1,
630.655.8 1,
630.655.9 1,
630.655.10 1,
630.655.11 1,
630.655.12 1,
630.655.13 1,
630.655.14 1,
630.655.15 1,
630.655.16 1,
630.655.17 1,
630.655.18 1,
630.655.19 1,
630.655.20 1,
630.655.21 1,
630.655.22 1,
630.655.23 1,
630.655.24 1,
630.655.25 1,
630.655.26 1,
630.655.27 1,
630.655.28 1,
630.655.29 1,
630.655.30 1,
630.656.1 1,
630.656.2 1,
630.656.3 1,
630.656.4 1,
630.656.5 1,
630.656.6 1,
630.656.7 1,
630.656.8 1,
630.656.9 1,
630.656.10 1,
630.656.11 1,
630.656.12 1,
630.656.13 1,
630.656.14 1,
630.656.15 1,
630.656.16 1,
630.656.17 1,
630.656.18 1,
630.656.19 1,
630.656.20 1,
630.656.21 1,
630.656.22 1,
630.656.23 1,
630.656.24 1,
630.656.25 1,
630.656.26 1,
630.656.27 1,
630.656.28 1,
630.656.29 1,
630.656.30 1,
630.698.1 1,
630.698.2 1,
630.698.3 1,
630.698.4 1,
630.698.5 1,
630.698.6 1,
630.698.7 1,
630.698.8 1,
630.698.9 1,
630.698.10 1,
630.698.11 1,
630.698.12 1,
630.698.13 1,
630.698.14 1,
630.698.15 1,
630.698.16 1,
630.698.17 1,
630.698.18 1,
630.698.19 1,
630.698.20 1,
630.698.21 1,
630.698.22 1,
630.698.23 1,
630.698.24 1,
630.698.25 1,
630.698.26 1,
630.698.27 1,
630.698.28 1,
630.698.29 1,
630.698.30 1,
630.700.1 1,
630.700.2 1,
630.700.3 1,
630.700.4 1,
630.700.5 1,
630.700.6 1,
630.700.7 1,
630.700.8 1,
630.700.9 1,
630.700.10 1,
630.700.11 1,
630.700.12 1,
630.700.13 1,
630.700.14 1,
630.700.15 1,
630.700.16 1,
630.700.17 1,
630.700.18 1,
630.700.19 1,
630.700.20 1,
630.700.21 1,
630.700.22 1,
630.700.23 1,
630.700.24 1,
630.700.25 1,
630.700.26 1,
630.700.27 1,
630.700.28 1,
630.700.29 1,
630.700.30 1,
631.626.1 1,
631.626.2 1,
631.626.3 1,
631.626.4 1,
631.626.5 1,
631.626.6 1,
631.626.7 1,
631.626.8 1,
631.626.9 1,
631.626.10 1,
631.626.11 1,
631.626.12 1,
631.626.13 1,
631.626.14 1,
631.626.15 1,
631.626.16 1,
631.626.17 1,
631.626.18 1,
631.626.19 1,
631.626.20 1,
631.626.21 1,
631.626.22 1,
631.626.23 1,
631.626.24 1,
631.626.25 1,
631.626.26 1,
631.626.27 1,
631.626.28 1,
631.626.29 1,
631.626.30 1,
631.705.1 1,
631.705.2 1,
631.705.3 1,
631.705.4 1,
631.705.5 1,
631.705.6 1,
631.705.7 1,
631.705.8 1,
631.705.9 1,
631.705.10 1,
631.705.11 1,
631.705.12 1,
631.705.13 1,
631.705.14 1,
631.705.15 1,
631.705.16 1,
631.705.17 1,
631.705.18 1,
631.705.19 1,
631.705.20 1,
631.705.21 1,
631.705.22 1,
631.705.23 1,
631.705.24 1,
631.705.25 1,
631.705.26 1,
631.705.27 1,
631.705.28 1,
631.705.29 1,
631.705.30 1,
632.657.1 1,
632.657.2 1,
632.657.3 1,
632.657.4 1,
632.657.5 1,
632.657.6 1,
632.657.7 1,
632.657.8 1,
632.657.9 1,
632.657.10 1,
632.657.11 1,
632.657.12 1,
632.657.13 1,
632.657.14 1,
632.657.15 1,
632.657.16 1,
632.657.17 1,
632.657.18 1,
632.657.19 1,
632.657.20 1,
632.657.21 1,
632.657.22 1,
632.657.23 1,
632.657.24 1,
632.657.25 1,
632.657.26 1,
632.657.27 1,
632.657.28 1,
632.657.29 1,
632.657.30 1,
632.682.1 1,
632.682.2 1,
632.682.3 1,
632.682.4 1,
632.682.5 1,
632.682.6 1,
632.682.7 1,
632.682.8 1,
632.682.9 1,
632.682.10 1,
632.682.11 1,
632.682.12 1,
632.682.13 1,
632.682.14 1,
632.682.15 1,
632.682.16 1,
632.682.17 1,
632.682.18 1,
632.682.19 1,
632.682.20 1,
632.682.21 1,
632.682.22 1,
632.682.23 1,
632.682.24 1,
632.682.25 1,
632.682.26 1,
632.682.27 1,
632.682.28 1,
632.682.29 1,
632.682.30 1,
632.705.1 1,
632.705.2 1,
632.705.3 1,
632.705.4 1,
632.705.5 1,
632.705.6 1,
632.705.7 1,
632.705.8 1,
632.705.9 1,
632.705.10 1,
632.705.11 1,
632.705.12 1,
632.705.13 1,
632.705.14 1,
632.705.15 1,
632.705.16 1,
632.705.17 1,
632.705.18 1,
632.705.19 1,
632.705.20 1,
632.705.21 1,
632.705.22 1,
632.705.23 1,
632.705.24 1,
632.705.25 1,
632.705.26 1,
632.705.27 1,
632.705.28 1,
632.705.29 1,
632.705.30 1,
632.715.1 1,
632.715.2 1,
632.715.3 1,
632.715.4 1,
632.715.5 1,
632.715.6 1,
632.715.7 1,
632.715.8 1,
632.715.9 1,
632.715.10 1,
632.715.11 1,
632.715.12 1,
632.715.13 1,
632.715.14 1,
632.715.15 1,
632.715.16 1,
632.715.17 1,
632.715.18 1,
632.715.19 1,
632.715.20 1,
632.715.21 1,
632.715.22 1,
632.715.23 1,
632.715.24 1,
632.715.25 1,
632.715.26 1,
632.715.27 1,
632.715.28 1,
632.715.29 1,
632.715.30 1,
302.657.1 1,
302.657.2 1,
302.657.3 1,
302.657.4 1,
302.657.5 1,
302.657.6 1,
302.657.7 1,
302.657.8 1,
302.657.9 1,
302.657.10 1,
302.657.11 1,
302.657.12 1,
302.657.13 1,
302.657.14 1,
302.657.15 1,
302.657.16 1,
302.657.17 1,
302.657.18 1,
302.657.19 1,
302.657.20 1,
302.657.21 1,
302.657.22 1,
302.657.23 1,
302.657.24 1,
302.657.25 1,
302.657.26 1,
302.657.27 1,
302.657.28 1,
302.657.29 1,
302.657.30 1,
633.653.1 1,
633.653.2 1,
633.653.3 1,
633.653.4 1,
633.653.5 1,
633.653.6 1,
633.653.7 1,
633.653.8 1,
633.653.9 1,
633.653.10 1,
633.653.11 1,
633.653.12 1,
633.653.13 1,
633.653.14 1,
633.653.15 1,
633.653.16 1,
633.653.17 1,
633.653.18 1,
633.653.19 1,
633.653.20 1,
633.653.21 1,
633.653.22 1,
633.653.23 1,
633.653.24 1,
633.653.25 1,
633.653.26 1,
633.653.27 1,
633.653.28 1,
633.653.29 1,
633.653.30 1,
633.665.1 1,
633.665.2 1,
633.665.3 1,
633.665.4 1,
633.665.5 1,
633.665.6 1,
633.665.7 1,
633.665.8 1,
633.665.9 1,
633.665.10 1,
633.665.11 1,
633.665.12 1,
633.665.13 1,
633.665.14 1,
633.665.15 1,
633.665.16 1,
633.665.17 1,
633.665.18 1,
633.665.19 1,
633.665.20 1,
633.665.21 1,
633.665.22 1,
633.665.23 1,
633.665.24 1,
633.665.25 1,
633.665.26 1,
633.665.27 1,
633.665.28 1,
633.665.29 1,
633.665.30 1,
634.659.1 1,
634.659.2 1,
634.659.3 1,
634.659.4 1,
634.659.5 1,
634.659.6 1,
634.659.7 1,
634.659.8 1,
634.659.9 1,
634.659.10 1,
634.659.11 1,
634.659.12 1,
634.659.13 1,
634.659.14 1,
634.659.15 1,
634.659.16 1,
634.659.17 1,
634.659.18 1,
634.659.19 1,
634.659.20 1,
634.659.21 1,
634.659.22 1,
634.659.23 1,
634.659.24 1,
634.659.25 1,
634.659.26 1,
634.659.27 1,
634.659.28 1,
634.659.29 1,
634.659.30 1,
634.706.1 1,
634.706.2 1,
634.706.3 1,
634.706.4 1,
634.706.5 1,
634.706.6 1,
634.706.7 1,
634.706.8 1,
634.706.9 1,
634.706.10 1,
634.706.11 1,
634.706.12 1,
634.706.13 1,
634.706.14 1,
634.706.15 1,
634.706.16 1,
634.706.17 1,
634.706.18 1,
634.706.19 1,
634.706.20 1,
634.706.21 1,
634.706.22 1,
634.706.23 1,
634.706.24 1,
634.706.25 1,
634.706.26 1,
634.706.27 1,
634.706.28 1,
634.706.29 1,
634.706.30 1,
635.636.1 1,
635.636.2 1,
635.636.3 1,
635.636.4 1,
635.636.5 1,
635.636.6 1,
635.636.7 1,
635.636.8 1,
635.636.9 1,
635.636.10 1,
635.636.11 1,
635.636.12 1,
635.636.13 1,
635.636.14 1,
635.636.15 1,
635.636.16 1,
635.636.17 1,
635.636.18 1,
635.636.19 1,
635.636.20 1,
635.636.21 1,
635.636.22 1,
635.636.23 1,
635.636.24 1,
635.636.25 1,
635.636.26 1,
635.636.27 1,
635.636.28 1,
635.636.29 1,
635.636.30 1,
635.644.1 1,
635.644.2 1,
635.644.3 1,
635.644.4 1,
635.644.5 1,
635.644.6 1,
635.644.7 1,
635.644.8 1,
635.644.9 1,
635.644.10 1,
635.644.11 1,
635.644.12 1,
635.644.13 1,
635.644.14 1,
635.644.15 1,
635.644.16 1,
635.644.17 1,
635.644.18 1,
635.644.19 1,
635.644.20 1,
635.644.21 1,
635.644.22 1,
635.644.23 1,
635.644.24 1,
635.644.25 1,
635.644.26 1,
635.644.27 1,
635.644.28 1,
635.644.29 1,
635.644.30 1,
635.708.1 1,
635.708.2 1,
635.708.3 1,
635.708.4 1,
635.708.5 1,
635.708.6 1,
635.708.7 1,
635.708.8 1,
635.708.9 1,
635.708.10 1,
635.708.11 1,
635.708.12 1,
635.708.13 1,
635.708.14 1,
635.708.15 1,
635.708.16 1,
635.708.17 1,
635.708.18 1,
635.708.19 1,
635.708.20 1,
635.708.21 1,
635.708.22 1,
635.708.23 1,
635.708.24 1,
635.708.25 1,
635.708.26 1,
635.708.27 1,
635.708.28 1,
635.708.29 1,
635.708.30 1,
635.710.1 1,
635.710.2 1,
635.710.3 1,
635.710.4 1,
635.710.5 1,
635.710.6 1,
635.710.7 1,
635.710.8 1,
635.710.9 1,
635.710.10 1,
635.710.11 1,
635.710.12 1,
635.710.13 1,
635.710.14 1,
635.710.15 1,
635.710.16 1,
635.710.17 1,
635.710.18 1,
635.710.19 1,
635.710.20 1,
635.710.21 1,
635.710.22 1,
635.710.23 1,
635.710.24 1,
635.710.25 1,
635.710.26 1,
635.710.27 1,
635.710.28 1,
635.710.29 1,
635.710.30 1,
636.635.1 1,
636.635.2 1,
636.635.3 1,
636.635.4 1,
636.635.5 1,
636.635.6 1,
636.635.7 1,
636.635.8 1,
636.635.9 1,
636.635.10 1,
636.635.11 1,
636.635.12 1,
636.635.13 1,
636.635.14 1,
636.635.15 1,
636.635.16 1,
636.635.17 1,
636.635.18 1,
636.635.19 1,
636.635.20 1,
636.635.21 1,
636.635.22 1,
636.635.23 1,
636.635.24 1,
636.635.25 1,
636.635.26 1,
636.635.27 1,
636.635.28 1,
636.635.29 1,
636.635.30 1,
636.638.1 1,
636.638.2 1,
636.638.3 1,
636.638.4 1,
636.638.5 1,
636.638.6 1,
636.638.7 1,
636.638.8 1,
636.638.9 1,
636.638.10 1,
636.638.11 1,
636.638.12 1,
636.638.13 1,
636.638.14 1,
636.638.15 1,
636.638.16 1,
636.638.17 1,
636.638.18 1,
636.638.19 1,
636.638.20 1,
636.638.21 1,
636.638.22 1,
636.638.23 1,
636.638.24 1,
636.638.25 1,
636.638.26 1,
636.638.27 1,
636.638.28 1,
636.638.29 1,
636.638.30 1,
637.638.1 1,
637.638.2 1,
637.638.3 1,
637.638.4 1,
637.638.5 1,
637.638.6 1,
637.638.7 1,
637.638.8 1,
637.638.9 1,
637.638.10 1,
637.638.11 1,
637.638.12 1,
637.638.13 1,
637.638.14 1,
637.638.15 1,
637.638.16 1,
637.638.17 1,
637.638.18 1,
637.638.19 1,
637.638.20 1,
637.638.21 1,
637.638.22 1,
637.638.23 1,
637.638.24 1,
637.638.25 1,
637.638.26 1,
637.638.27 1,
637.638.28 1,
637.638.29 1,
637.638.30 1,
637.699.1 1,
637.699.2 1,
637.699.3 1,
637.699.4 1,
637.699.5 1,
637.699.6 1,
637.699.7 1,
637.699.8 1,
637.699.9 1,
637.699.10 1,
637.699.11 1,
637.699.12 1,
637.699.13 1,
637.699.14 1,
637.699.15 1,
637.699.16 1,
637.699.17 1,
637.699.18 1,
637.699.19 1,
637.699.20 1,
637.699.21 1,
637.699.22 1,
637.699.23 1,
637.699.24 1,
637.699.25 1,
637.699.26 1,
637.699.27 1,
637.699.28 1,
637.699.29 1,
637.699.30 1,
638.636.1 1,
638.636.2 1,
638.636.3 1,
638.636.4 1,
638.636.5 1,
638.636.6 1,
638.636.7 1,
638.636.8 1,
638.636.9 1,
638.636.10 1,
638.636.11 1,
638.636.12 1,
638.636.13 1,
638.636.14 1,
638.636.15 1,
638.636.16 1,
638.636.17 1,
638.636.18 1,
638.636.19 1,
638.636.20 1,
638.636.21 1,
638.636.22 1,
638.636.23 1,
638.636.24 1,
638.636.25 1,
638.636.26 1,
638.636.27 1,
638.636.28 1,
638.636.29 1,
638.636.30 1,
638.637.1 1,
638.637.2 1,
638.637.3 1,
638.637.4 1,
638.637.5 1,
638.637.6 1,
638.637.7 1,
638.637.8 1,
638.637.9 1,
638.637.10 1,
638.637.11 1,
638.637.12 1,
638.637.13 1,
638.637.14 1,
638.637.15 1,
638.637.16 1,
638.637.17 1,
638.637.18 1,
638.637.19 1,
638.637.20 1,
638.637.21 1,
638.637.22 1,
638.637.23 1,
638.637.24 1,
638.637.25 1,
638.637.26 1,
638.637.27 1,
638.637.28 1,
638.637.29 1,
638.637.30 1,
638.203.1 1,
638.203.2 1,
638.203.3 1,
638.203.4 1,
638.203.5 1,
638.203.6 1,
638.203.7 1,
638.203.8 1,
638.203.9 1,
638.203.10 1,
638.203.11 1,
638.203.12 1,
638.203.13 1,
638.203.14 1,
638.203.15 1,
638.203.16 1,
638.203.17 1,
638.203.18 1,
638.203.19 1,
638.203.20 1,
638.203.21 1,
638.203.22 1,
638.203.23 1,
638.203.24 1,
638.203.25 1,
638.203.26 1,
638.203.27 1,
638.203.28 1,
638.203.29 1,
638.203.30 1,
638.701.1 1,
638.701.2 1,
638.701.3 1,
638.701.4 1,
638.701.5 1,
638.701.6 1,
638.701.7 1,
638.701.8 1,
638.701.9 1,
638.701.10 1,
638.701.11 1,
638.701.12 1,
638.701.13 1,
638.701.14 1,
638.701.15 1,
638.701.16 1,
638.701.17 1,
638.701.18 1,
638.701.19 1,
638.701.20 1,
638.701.21 1,
638.701.22 1,
638.701.23 1,
638.701.24 1,
638.701.25 1,
638.701.26 1,
638.701.27 1,
638.701.28 1,
638.701.29 1,
638.701.30 1,
639.669.1 1,
639.669.2 1,
639.669.3 1,
639.669.4 1,
639.669.5 1,
639.669.6 1,
639.669.7 1,
639.669.8 1,
639.669.9 1,
639.669.10 1,
639.669.11 1,
639.669.12 1,
639.669.13 1,
639.669.14 1,
639.669.15 1,
639.669.16 1,
639.669.17 1,
639.669.18 1,
639.669.19 1,
639.669.20 1,
639.669.21 1,
639.669.22 1,
639.669.23 1,
639.669.24 1,
639.669.25 1,
639.669.26 1,
639.669.27 1,
639.669.28 1,
639.669.29 1,
639.669.30 1,
639.707.1 1,
639.707.2 1,
639.707.3 1,
639.707.4 1,
639.707.5 1,
639.707.6 1,
639.707.7 1,
639.707.8 1,
639.707.9 1,
639.707.10 1,
639.707.11 1,
639.707.12 1,
639.707.13 1,
639.707.14 1,
639.707.15 1,
639.707.16 1,
639.707.17 1,
639.707.18 1,
639.707.19 1,
639.707.20 1,
639.707.21 1,
639.707.22 1,
639.707.23 1,
639.707.24 1,
639.707.25 1,
639.707.26 1,
639.707.27 1,
639.707.28 1,
639.707.29 1,
639.707.30 1,
639.708.1 1,
639.708.2 1,
639.708.3 1,
639.708.4 1,
639.708.5 1,
639.708.6 1,
639.708.7 1,
639.708.8 1,
639.708.9 1,
639.708.10 1,
639.708.11 1,
639.708.12 1,
639.708.13 1,
639.708.14 1,
639.708.15 1,
639.708.16 1,
639.708.17 1,
639.708.18 1,
639.708.19 1,
639.708.20 1,
639.708.21 1,
639.708.22 1,
639.708.23 1,
639.708.24 1,
639.708.25 1,
639.708.26 1,
639.708.27 1,
639.708.28 1,
639.708.29 1,
639.708.30 1,
639.709.1 1,
639.709.2 1,
639.709.3 1,
639.709.4 1,
639.709.5 1,
639.709.6 1,
639.709.7 1,
639.709.8 1,
639.709.9 1,
639.709.10 1,
639.709.11 1,
639.709.12 1,
639.709.13 1,
639.709.14 1,
639.709.15 1,
639.709.16 1,
639.709.17 1,
639.709.18 1,
639.709.19 1,
639.709.20 1,
639.709.21 1,
639.709.22 1,
639.709.23 1,
639.709.24 1,
639.709.25 1,
639.709.26 1,
639.709.27 1,
639.709.28 1,
639.709.29 1,
639.709.30 1,
640.654.1 1,
640.654.2 1,
640.654.3 1,
640.654.4 1,
640.654.5 1,
640.654.6 1,
640.654.7 1,
640.654.8 1,
640.654.9 1,
640.654.10 1,
640.654.11 1,
640.654.12 1,
640.654.13 1,
640.654.14 1,
640.654.15 1,
640.654.16 1,
640.654.17 1,
640.654.18 1,
640.654.19 1,
640.654.20 1,
640.654.21 1,
640.654.22 1,
640.654.23 1,
640.654.24 1,
640.654.25 1,
640.654.26 1,
640.654.27 1,
640.654.28 1,
640.654.29 1,
640.654.30 1,
640.668.1 1,
640.668.2 1,
640.668.3 1,
640.668.4 1,
640.668.5 1,
640.668.6 1,
640.668.7 1,
640.668.8 1,
640.668.9 1,
640.668.10 1,
640.668.11 1,
640.668.12 1,
640.668.13 1,
640.668.14 1,
640.668.15 1,
640.668.16 1,
640.668.17 1,
640.668.18 1,
640.668.19 1,
640.668.20 1,
640.668.21 1,
640.668.22 1,
640.668.23 1,
640.668.24 1,
640.668.25 1,
640.668.26 1,
640.668.27 1,
640.668.28 1,
640.668.29 1,
640.668.30 1,
640.703.1 1,
640.703.2 1,
640.703.3 1,
640.703.4 1,
640.703.5 1,
640.703.6 1,
640.703.7 1,
640.703.8 1,
640.703.9 1,
640.703.10 1,
640.703.11 1,
640.703.12 1,
640.703.13 1,
640.703.14 1,
640.703.15 1,
640.703.16 1,
640.703.17 1,
640.703.18 1,
640.703.19 1,
640.703.20 1,
640.703.21 1,
640.703.22 1,
640.703.23 1,
640.703.24 1,
640.703.25 1,
640.703.26 1,
640.703.27 1,
640.703.28 1,
640.703.29 1,
640.703.30 1,
641.646.1 1,
641.646.2 1,
641.646.3 1,
641.646.4 1,
641.646.5 1,
641.646.6 1,
641.646.7 1,
641.646.8 1,
641.646.9 1,
641.646.10 1,
641.646.11 1,
641.646.12 1,
641.646.13 1,
641.646.14 1,
641.646.15 1,
641.646.16 1,
641.646.17 1,
641.646.18 1,
641.646.19 1,
641.646.20 1,
641.646.21 1,
641.646.22 1,
641.646.23 1,
641.646.24 1,
641.646.25 1,
641.646.26 1,
641.646.27 1,
641.646.28 1,
641.646.29 1,
641.646.30 1,
641.665.1 1,
641.665.2 1,
641.665.3 1,
641.665.4 1,
641.665.5 1,
641.665.6 1,
641.665.7 1,
641.665.8 1,
641.665.9 1,
641.665.10 1,
641.665.11 1,
641.665.12 1,
641.665.13 1,
641.665.14 1,
641.665.15 1,
641.665.16 1,
641.665.17 1,
641.665.18 1,
641.665.19 1,
641.665.20 1,
641.665.21 1,
641.665.22 1,
641.665.23 1,
641.665.24 1,
641.665.25 1,
641.665.26 1,
641.665.27 1,
641.665.28 1,
641.665.29 1,
641.665.30 1,
641.676.1 1,
641.676.2 1,
641.676.3 1,
641.676.4 1,
641.676.5 1,
641.676.6 1,
641.676.7 1,
641.676.8 1,
641.676.9 1,
641.676.10 1,
641.676.11 1,
641.676.12 1,
641.676.13 1,
641.676.14 1,
641.676.15 1,
641.676.16 1,
641.676.17 1,
641.676.18 1,
641.676.19 1,
641.676.20 1,
641.676.21 1,
641.676.22 1,
641.676.23 1,
641.676.24 1,
641.676.25 1,
641.676.26 1,
641.676.27 1,
641.676.28 1,
641.676.29 1,
641.676.30 1,
641.712.1 1,
641.712.2 1,
641.712.3 1,
641.712.4 1,
641.712.5 1,
641.712.6 1,
641.712.7 1,
641.712.8 1,
641.712.9 1,
641.712.10 1,
641.712.11 1,
641.712.12 1,
641.712.13 1,
641.712.14 1,
641.712.15 1,
641.712.16 1,
641.712.17 1,
641.712.18 1,
641.712.19 1,
641.712.20 1,
641.712.21 1,
641.712.22 1,
641.712.23 1,
641.712.24 1,
641.712.25 1,
641.712.26 1,
641.712.27 1,
641.712.28 1,
641.712.29 1,
641.712.30 1,
642.643.1 1,
642.643.2 1,
642.643.3 1,
642.643.4 1,
642.643.5 1,
642.643.6 1,
642.643.7 1,
642.643.8 1,
642.643.9 1,
642.643.10 1,
642.643.11 1,
642.643.12 1,
642.643.13 1,
642.643.14 1,
642.643.15 1,
642.643.16 1,
642.643.17 1,
642.643.18 1,
642.643.19 1,
642.643.20 1,
642.643.21 1,
642.643.22 1,
642.643.23 1,
642.643.24 1,
642.643.25 1,
642.643.26 1,
642.643.27 1,
642.643.28 1,
642.643.29 1,
642.643.30 1,
642.700.1 1,
642.700.2 1,
642.700.3 1,
642.700.4 1,
642.700.5 1,
642.700.6 1,
642.700.7 1,
642.700.8 1,
642.700.9 1,
642.700.10 1,
642.700.11 1,
642.700.12 1,
642.700.13 1,
642.700.14 1,
642.700.15 1,
642.700.16 1,
642.700.17 1,
642.700.18 1,
642.700.19 1,
642.700.20 1,
642.700.21 1,
642.700.22 1,
642.700.23 1,
642.700.24 1,
642.700.25 1,
642.700.26 1,
642.700.27 1,
642.700.28 1,
642.700.29 1,
642.700.30 1,
643.642.1 1,
643.642.2 1,
643.642.3 1,
643.642.4 1,
643.642.5 1,
643.642.6 1,
643.642.7 1,
643.642.8 1,
643.642.9 1,
643.642.10 1,
643.642.11 1,
643.642.12 1,
643.642.13 1,
643.642.14 1,
643.642.15 1,
643.642.16 1,
643.642.17 1,
643.642.18 1,
643.642.19 1,
643.642.20 1,
643.642.21 1,
643.642.22 1,
643.642.23 1,
643.642.24 1,
643.642.25 1,
643.642.26 1,
643.642.27 1,
643.642.28 1,
643.642.29 1,
643.642.30 1,
643.669.1 1,
643.669.2 1,
643.669.3 1,
643.669.4 1,
643.669.5 1,
643.669.6 1,
643.669.7 1,
643.669.8 1,
643.669.9 1,
643.669.10 1,
643.669.11 1,
643.669.12 1,
643.669.13 1,
643.669.14 1,
643.669.15 1,
643.669.16 1,
643.669.17 1,
643.669.18 1,
643.669.19 1,
643.669.20 1,
643.669.21 1,
643.669.22 1,
643.669.23 1,
643.669.24 1,
643.669.25 1,
643.669.26 1,
643.669.27 1,
643.669.28 1,
643.669.29 1,
643.669.30 1,
643.702.1 1,
643.702.2 1,
643.702.3 1,
643.702.4 1,
643.702.5 1,
643.702.6 1,
643.702.7 1,
643.702.8 1,
643.702.9 1,
643.702.10 1,
643.702.11 1,
643.702.12 1,
643.702.13 1,
643.702.14 1,
643.702.15 1,
643.702.16 1,
643.702.17 1,
643.702.18 1,
643.702.19 1,
643.702.20 1,
643.702.21 1,
643.702.22 1,
643.702.23 1,
643.702.24 1,
643.702.25 1,
643.702.26 1,
643.702.27 1,
643.702.28 1,
643.702.29 1,
643.702.30 1,
643.703.1 1,
643.703.2 1,
643.703.3 1,
643.703.4 1,
643.703.5 1,
643.703.6 1,
643.703.7 1,
643.703.8 1,
643.703.9 1,
643.703.10 1,
643.703.11 1,
643.703.12 1,
643.703.13 1,
643.703.14 1,
643.703.15 1,
643.703.16 1,
643.703.17 1,
643.703.18 1,
643.703.19 1,
643.703.20 1,
643.703.21 1,
643.703.22 1,
643.703.23 1,
643.703.24 1,
643.703.25 1,
643.703.26 1,
643.703.27 1,
643.703.28 1,
643.703.29 1,
643.703.30 1,
644.635.1 1,
644.635.2 1,
644.635.3 1,
644.635.4 1,
644.635.5 1,
644.635.6 1,
644.635.7 1,
644.635.8 1,
644.635.9 1,
644.635.10 1,
644.635.11 1,
644.635.12 1,
644.635.13 1,
644.635.14 1,
644.635.15 1,
644.635.16 1,
644.635.17 1,
644.635.18 1,
644.635.19 1,
644.635.20 1,
644.635.21 1,
644.635.22 1,
644.635.23 1,
644.635.24 1,
644.635.25 1,
644.635.26 1,
644.635.27 1,
644.635.28 1,
644.635.29 1,
644.635.30 1,
645.617.1 1,
645.617.2 1,
645.617.3 1,
645.617.4 1,
645.617.5 1,
645.617.6 1,
645.617.7 1,
645.617.8 1,
645.617.9 1,
